ts,open,high,low,close,bar_count,range_pips,atr14_pips
2023-10-29,1.05644,1.05749,1.05551,1.05609,473,19.800000000000928,59.13571428571423
2023-10-30,1.05609,1.0625,1.05471,1.05938,1436,77.89999999999964,60.19999999999993
2023-10-31,1.05938,1.06748,1.05574,1.05672,1437,117.40000000000083,66.92857142857135
2023-11-01,1.05671,1.06021,1.05167,1.05959,1437,85.39999999999992,70.14285714285703
2023-11-02,1.05958,1.06675,1.0591,1.06264,1436,76.50000000000156,71.17857142857143
2023-11-03,1.06264,1.07467,1.06197,1.07295,960,126.99999999999933,75.17857142857147
2023-11-05,1.07232,1.07375,1.07207,1.07356,418,16.799999999999038,70.08571428571427
2023-11-06,1.07355,1.07562,1.07051,1.07064,1435,51.099999999999476,70.9785714285714
2023-11-07,1.07065,1.07116,1.0664,1.0692,1434,47.59999999999875,72.69999999999997
2023-11-08,1.0692,1.0716,1.06593,1.07088,1440,56.700000000000635,68.48571428571427
2023-11-09,1.07088,1.07254,1.06601,1.06712,1433,65.30000000000146,65.20714285714293
2023-11-10,1.06712,1.06927,1.0656,1.06848,1020,36.6999999999984,63.16428571428572
2023-11-12,1.06818,1.06906,1.06799,1.06842,413,10.699999999999044,60.75000000000004
2023-11-13,1.06842,1.07061,1.0665,1.06963,1433,41.10000000000058,59.285714285714256
2023-11-14,1.06962,1.08875,1.06928,1.08777,1437,194.70000000000098,71.7785714285714
2023-11-15,1.08778,1.08858,1.083,1.08369,1429,55.800000000001404,70.20000000000009
2023-11-16,1.08369,1.08955,1.08334,1.08502,1438,62.100000000000485,66.25000000000007
2023-11-17,1.08504,1.09148,1.08247,1.09138,1019,90.09999999999962,66.58571428571433
2023-11-19,1.09095,1.09358,1.08974,1.0922,420,38.40000000000065,63.86428571428571
2023-11-20,1.09219,1.09651,1.09129,1.09586,1439,52.200000000000024,58.521428571428615
2023-11-21,1.09589,1.09639,1.09001,1.09137,1437,63.80000000000052,61.87857142857157
2023-11-22,1.09136,1.09197,1.08522,1.09025,1433,67.50000000000034,63.05000000000022
2023-11-23,1.09025,1.09303,1.0887,1.09035,1408,43.29999999999945,62.7428571428574
2023-11-24,1.09035,1.09486,1.09014,1.09341,1015,47.199999999998354,62.06428571428581
2023-11-26,1.09438,1.09497,1.09267,1.09473,419,22.999999999999687,59.0428571428571
2023-11-27,1.09472,1.09628,1.09251,1.09524,1434,37.69999999999829,59.11428571428568
2023-11-28,1.09523,1.10171,1.09344,1.10025,1438,82.69999999999999,64.25714285714288
2023-11-29,1.10024,1.10045,1.09601,1.09689,1438,44.39999999999999,64.49285714285713
2023-11-30,1.0969,1.09817,1.08794,1.09066,1438,102.30000000000183,57.89285714285719
2023-12-01,1.09066,1.09122,1.08287,1.08788,1020,83.5000000000008,59.871428571428574
2023-12-03,1.08771,1.08948,1.08665,1.08714,420,28.300000000001102,57.457142857142905
2023-12-04,1.08715,1.08807,1.0804,1.0844,1435,76.70000000000066,56.50000000000012
2023-12-05,1.0844,1.08474,1.07781,1.07943,1435,69.30000000000102,58.707142857143005
2023-12-06,1.07942,1.08047,1.0758,1.07603,1437,46.69999999999952,58.31428571428582
2023-12-07,1.07604,1.08175,1.07552,1.07829,1439,62.29999999999958,58.207142857142905
2023-12-08,1.07828,1.07911,1.07236,1.07592,1020,67.50000000000034,58.207142857142905
2023-12-10,1.07592,1.07739,1.07556,1.0763,417,18.299999999999983,56.42142857142865
2023-12-11,1.07629,1.07789,1.07415,1.07651,1432,37.400000000000766,55.721428571428824
2023-12-12,1.07654,1.08279,1.07653,1.07862,1435,62.59999999999932,58.55000000000023
2023-12-13,1.07864,1.09153,1.07731,1.08993,1439,142.199999999999,66.01428571428599
2023-12-14,1.08993,1.10092,1.088,1.0998,1440,129.1999999999982,69.33571428571443
2023-12-15,1.0998,1.09992,1.08885,1.08922,1020,110.69999999999912,74.07142857142865
2023-12-17,1.08973,1.09136,1.0892,1.09128,416,21.600000000001618,68.30714285714292
2023-12-18,1.0913,1.09311,1.09071,1.0923,1438,23.999999999999577,64.05714285714285
2023-12-19,1.09229,1.09873,1.09207,1.09686,1434,66.59999999999889,66.79285714285697
2023-12-20,1.09686,1.09756,1.09298,1.09491,1439,45.80000000000028,64.58571428571409
2023-12-21,1.09492,1.10125,1.09352,1.10004,1440,77.30000000000014,65.15714285714259
2023-12-22,1.10003,1.10401,1.09938,1.10135,1016,46.299999999999116,65.12857142857114
2023-12-24,1.10108,1.10159,1.09933,1.10025,186,22.600000000001508,62.29285714285699
2023-12-25,1.10025,1.10286,1.09974,1.10224,552,31.200000000000117,59.69999999999983
2023-12-26,1.10223,1.1045,1.10085,1.10416,1429,36.49999999999931,60.99999999999979
2023-12-27,1.10416,1.11226,1.10364,1.11102,1436,86.20000000000071,64.48571428571407
2023-12-28,1.11101,1.11394,1.10552,1.10666,1437,84.19999999999871,66.02857142857117
2023-12-29,1.10666,1.10806,1.10339,1.10361,1019,46.69999999999952,59.20714285714263
2024-01-01,1.10427,1.10447,1.10165,1.10208,415,28.200000000000447,51.99285714285708
2024-01-02,1.10208,1.10387,1.09375,1.09622,1436,101.19999999999906,51.314285714285646
2024-01-03,1.09623,1.09654,1.08929,1.09258,1436,72.49999999999979,54.949999999999804
2024-01-04,1.09259,1.09721,1.09208,1.09371,1434,51.300000000000786,56.89999999999988
2024-01-05,1.09371,1.09984,1.08767,1.09392,1019,121.70000000000013,60.83571428571425
2024-01-07,1.09386,1.0953,1.09306,1.0934,413,22.400000000000198,59.164285714285676
2024-01-08,1.09342,1.09788,1.09226,1.09561,1432,56.199999999999584,57.65714285714279
2024-01-09,1.0956,1.09629,1.09103,1.09321,1438,52.60000000000042,58.107142857142875
2024-01-10,1.09321,1.09847,1.09228,1.09777,1437,61.9000000000014,60.914285714285725
2024-01-11,1.09775,1.1,1.09302,1.09755,1437,69.79999999999986,63.671428571428564
2024-01-12,1.09756,1.09868,1.09359,1.09483,1020,50.90000000000039,64.70000000000007
2024-01-14,1.0948,1.09675,1.09407,1.09628,418,26.799999999997937,60.457142857142735
2024-01-15,1.09629,1.09666,1.09134,1.09175,1360,53.19999999999991,58.2428571428571
2024-01-16,1.09175,1.09265,1.0862,1.08709,1200,64.49999999999845,59.5142857142856
2024-01-17,1.08709,1.09028,1.08445,1.08941,1438,58.30000000000002,61.66428571428556
2024-01-18,1.0894,1.09067,1.08466,1.08864,1440,60.100000000000705,58.7285714285714
2024-01-19,1.08865,1.08983,1.08656,1.0896,1020,32.70000000000106,55.88571428571434
2024-01-21,1.08906,1.09091,1.08878,1.09028,417,21.299999999999653,53.742857142857126
2024-01-22,1.09029,1.09094,1.08756,1.08983,1436,33.799999999999386,47.464285714285644
2024-01-23,1.08984,1.09162,1.08215,1.08645,1435,94.70000000000088,52.6285714285714
2024-01-24,1.08644,1.09323,1.08592,1.08754,1439,73.09999999999927,53.83571428571424
2024-01-25,1.08754,1.09018,1.08216,1.08395,1435,80.19999999999915,55.80714285714272
2024-01-26,1.08395,1.08854,1.08128,1.08504,1020,72.60000000000043,56.57142857142836
2024-01-28,1.08468,1.0849,1.08393,1.08448,420,9.699999999999154,52.278571428571176
2024-01-29,1.08446,1.085,1.07958,1.08253,1438,54.199999999999804,52.51428571428541
2024-01-30,1.08251,1.08573,1.08119,1.08205,1436,45.399999999999885,53.842857142856985
2024-01-31,1.08203,1.08874,1.07949,1.08076,1434,92.4999999999998,56.64999999999983
2024-02-01,1.08076,1.08796,1.07799,1.0873,1434,99.70000000000034,59.164285714285676
2024-02-02,1.0873,1.08974,1.07804,1.07849,1020,116.99999999999821,63.3571428571427
2024-02-04,1.07854,1.07858,1.07673,1.07788,420,18.500000000001293,60.385714285714165
2024-02-05,1.07788,1.07861,1.07231,1.07489,1437,62.99999999999972,62.54999999999979
2024-02-06,1.0749,1.07665,1.07225,1.0759,1434,44.00000000000181,64.1714285714285
2024-02-07,1.07589,1.07883,1.07556,1.07799,1440,32.69999999999884,64.09285714285704
2024-02-08,1.07797,1.07889,1.07416,1.07711,1437,47.29999999999901,60.70714285714263
2024-02-09,1.0771,1.07951,1.07621,1.07821,1019,32.999999999998586,57.84285714285686
2024-02-11,1.07767,1.07997,1.07766,1.07904,414,23.100000000000342,53.76428571428551
2024-02-12,1.07903,1.08055,1.07559,1.07637,1435,49.59999999999853,52.12142857142824
2024-02-13,1.07635,1.07985,1.07005,1.07143,1439,98.0000000000003,58.42857142857117
2024-02-14,1.07144,1.07354,1.06949,1.07259,1436,40.49999999999887,57.44999999999969
2024-02-15,1.0726,1.07847,1.0726,1.07593,1438,58.700000000000415,58.399999999999714
2024-02-16,1.07591,1.07874,1.07319,1.07749,1020,55.49999999999944,55.75714285714255
2024-02-18,1.07718,1.07889,1.07718,1.07778,420,17.099999999998783,49.85714285714244
2024-02-19,1.07779,1.07894,1.07615,1.07689,1417,27.900000000000702,43.4928571428569
2024-02-20,1.0769,1.08387,1.07651,1.08141,1436,73.5999999999981,47.428571428570955
2024-02-21,1.08141,1.08321,1.07899,1.08303,1440,42.200000000001125,45.942857142856774
2024-02-22,1.08302,1.08882,1.08026,1.08254,1434,85.599999999999,48.91428571428514
2024-02-23,1.08253,1.08395,1.08117,1.08174,1019,27.800000000000047,48.564285714285234
2024-02-25,1.08318,1.08322,1.08126,1.08211,415,19.599999999999618,46.58571428571384
2024-02-26,1.0821,1.08597,1.08188,1.08534,1431,40.90000000000149,47.14999999999977
2024-02-27,1.08533,1.08659,1.08318,1.08323,1435,34.09999999999913,47.93571428571397
2024-02-28,1.08322,1.08458,1.07966,1.08363,1437,49.20000000000035,47.90714285714267
2024-02-29,1.08363,1.08558,1.07958,1.08135,1435,60.00000000000005,45.192857142856944
2024-03-01,1.08135,1.08432,1.07981,1.08368,1020,45.100000000000136,45.52142857142845
2024-03-03,1.08359,1.0848,1.0835,1.08436,414,13.000000000000789,42.25714285714277
2024-03-04,1.08435,1.08667,1.08377,1.08505,1429,29.000000000001247,40.36428571428576
2024-03-05,1.08504,1.0876,1.08403,1.08516,1435,35.69999999999851,41.692857142857164
2024-03-06,1.08516,1.09153,1.08516,1.09035,1438,63.69999999999987,44.249999999999964
2024-03-07,1.09034,1.09556,1.08678,1.09456,1435,87.8000000000001,45.264285714285826
2024-03-08,1.09456,1.09812,1.09183,1.09348,1020,62.89999999999907,46.7428571428571
2024-03-10,1.09411,1.09465,1.09359,1.09386,478,10.599999999998388,41.3857142857142
2024-03-11,1.09386,1.0948,1.09145,1.09368,1433,33.49999999999964,41.792857142857024
2024-03-12,1.09369,1.09438,1.09023,1.09234,1433,41.49999999999876,43.35714285714268
