date,side,sweep_time,sweep_hour,asian_range_pips,reached_target,excursion_beyond_level_pips,excursion_beyond_entry_pips,excursion_pct_of_asian_range,minutes_sweep_to_turn,minutes_turn_to_target,n_pokes,reclaimed,minutes_sweep_to_reclaim,reclaim_price,excursion_at_reclaim_pips,max_adverse_after_reclaim_pips,retested_level_after_reclaim
2021-04-07,low,02:10,2,12.2,True,1.6,2.4,13.1,0,22.0,1,True,0.0,1.18663,1.6,2.4,True
2021-04-08,high,02:52,2,13.0,False,36.3,34.8,279.2,423,,6,True,135.0,1.18723,19.1,37.9,True
2021-04-09,low,02:00,2,17.2,False,36.0,29.2,209.3,411,,1,False,,,,,
2021-04-12,low,02:59,2,17.6,True,14.3,14.4,81.3,70,80.0,6,True,0.0,1.18854,0.1,14.4,True
2021-04-13,low,02:01,2,22.1,True,12.3,13.0,55.7,388,8.0,14,True,0.0,1.18906,0.8,13.0,True
2021-04-14,high,02:00,2,10.4,True,11.0,8.2,105.8,77,139.0,4,True,67.0,1.19627,6.9,11.3,True
2021-04-15,high,03:27,3,17.5,True,3.5,4.4,20.0,116,49.0,2,True,0.0,1.19888,0.3,4.4,True
2021-04-16,high,03:48,3,24.3,False,20.0,19.2,82.3,185,,3,True,1.0,1.19732,1.2,21.4,True
2021-04-19,high,02:45,2,32.5,False,73.1,71.1,224.9,258,,1,True,13.0,1.19748,5.9,73.2,True
2021-04-20,high,02:58,2,34.4,True,8.0,8.8,23.3,48,287.0,7,True,0.0,1.20709,0.4,8.8,True
2021-04-21,low,02:00,2,15.3,False,29.8,29.8,194.8,269,,6,True,1.0,1.20286,0.7,30.1,True
2021-04-22,low,02:04,2,14.4,True,3.2,2.8,22.2,17,43.0,2,True,1.0,1.20327,1.8,3.6,True
2021-04-23,high,02:00,2,13.6,False,49.3,48.7,362.5,415,,5,True,1.0,1.20254,3.1,50.2,True
2021-04-27,low,03:02,3,18.9,True,8.4,9.2,44.4,132,102.0,6,True,0.0,1.20659,0.2,9.2,True
2021-04-28,low,02:00,2,13.9,True,19.1,15.5,137.4,61,435.0,7,True,11.0,1.20754,5.4,19.4,True
2021-04-29,low,02:37,2,25.8,False,21.9,19.9,84.9,434,,4,True,196.0,1.21245,12.9,22.4,True
2021-04-30,low,02:01,2,11.3,False,91.3,91.5,808.0,577,,3,True,0.0,1.21154,0.1,91.5,True
2021-05-03,low,02:01,2,17.1,True,5.3,4.3,31.0,4,53.0,5,True,1.0,1.20188,1.0,5.8,True
2021-05-04,low,02:00,2,20.9,False,40.0,35.9,191.4,184,,1,True,7.0,1.2039,4.4,40.1,True
2021-05-05,low,02:00,2,12.5,False,28.1,28.0,224.8,97,,5,True,1.0,1.2015,2.1,29.1,True
2021-05-06,high,02:36,2,18.7,False,60.0,57.8,320.9,436,,1,False,,,,,
2021-05-07,low,02:02,2,10.3,True,6.7,6.7,65.0,28,44.0,3,True,2.0,1.20604,0.4,7.7,True
2021-05-10,low,03:13,3,19.6,True,14.3,9.6,73.0,31,61.0,1,True,73.0,1.2152,14.3,1.9,True
2021-05-11,low,03:11,3,23.4,True,2.9,3.6,12.4,4,81.0,3,True,0.0,1.21266,1.1,3.6,True
2021-05-13,high,02:22,2,18.2,True,17.2,17.0,94.5,60,85.0,3,True,1.0,1.20874,1.7,18.6,True
2021-05-14,high,02:00,2,14.9,False,62.0,52.7,416.1,497,,1,False,,,,,
2021-05-17,low,02:00,2,20.8,True,2.5,0.0,12.0,0,176.0,1,True,7.0,1.21307,2.5,2.7,True
2021-05-18,high,02:04,2,15.7,False,64.8,64.6,412.7,399,,1,False,,,,,
2021-05-19,high,02:00,2,15.5,True,12.4,5.3,80.0,64,50.0,1,True,90.0,1.22314,12.4,2.1,True
2021-05-20,high,02:08,2,16.2,False,41.3,39.3,254.9,589,,4,True,50.0,1.21834,12.7,43.0,True
2021-05-21,high,02:04,2,15.3,True,0.5,1.1,3.3,0,36.0,1,True,0.0,1.22385,0.5,1.1,True
2021-05-24,high,02:00,2,12.1,True,17.1,15.3,141.3,145,13.0,1,True,6.0,1.21869,3.3,17.3,True
2021-05-25,high,02:16,2,18.8,False,36.3,36.5,193.1,359,,1,True,0.0,1.22299,0.5,36.5,True
2021-05-26,low,03:10,3,18.6,False,44.7,40.9,240.3,523,,9,True,32.0,1.2242,9.2,44.9,True
2021-05-27,high,02:00,2,19.4,False,20.4,23.1,105.2,148,,12,True,0.0,1.21918,1.6,23.1,True
2021-05-28,low,02:00,2,11.3,True,10.0,5.2,88.5,18,106.0,5,True,42.0,1.21847,10.0,11.6,True
2021-06-01,low,02:09,2,12.7,True,4.0,1.7,31.5,5,38.0,2,True,7.0,1.22239,4.0,1.4,True
2021-06-02,low,02:00,2,11.5,False,51.0,48.3,443.5,330,,5,True,28.0,1.22151,4.5,51.1,True
2021-06-03,low,02:00,2,11.8,False,81.7,75.4,692.4,598,,4,True,241.0,1.22033,23.6,82.7,True
2021-06-04,low,02:00,2,15.9,True,10.4,3.9,65.4,296,94.0,18,True,60.0,1.21158,10.3,11.9,True
2021-06-07,low,02:00,2,12.7,True,15.1,12.4,118.9,68,264.0,12,True,15.0,1.21607,4.3,15.9,True
2021-06-08,low,02:00,2,16.2,False,13.7,14.0,84.6,85,,24,True,0.0,1.21782,1.2,14.0,True
2021-06-09,high,02:38,2,13.8,False,32.7,32.9,237.0,414,,9,True,0.0,1.2185,1.6,32.9,True
2021-06-10,low,02:00,2,14.3,True,13.0,10.8,90.9,97,248.0,14,True,15.0,1.21665,4.7,13.2,True
2021-06-11,high,02:08,2,19.7,True,1.5,1.3,7.6,12,128.0,3,True,1.0,1.21911,0.3,1.8,True
2021-06-14,low,03:12,3,15.7,True,0.3,2.1,1.9,0,14.0,1,True,0.0,1.20963,0.3,2.1,True
2021-06-15,high,02:00,2,12.1,True,21.5,21.8,177.7,117,178.0,7,True,0.0,1.21255,2.0,21.8,True
2021-06-16,high,02:00,2,10.4,True,7.8,6.8,75.0,39,246.0,9,True,4.0,1.21259,3.1,8.8,True
2021-06-17,low,02:08,2,20.6,False,78.3,76.6,380.1,588,,5,True,7.0,1.19859,10.8,80.1,True
2021-06-18,low,02:00,2,20.4,False,57.3,53.9,280.9,537,,3,True,16.0,1.19052,8.4,58.0,True
2021-06-21,high,02:22,2,28.8,False,44.2,44.4,153.5,511,,5,True,0.0,1.18762,0.3,44.4,True
2021-06-22,low,02:00,2,14.5,False,19.8,16.3,136.6,236,,14,True,42.0,1.19013,9.1,20.5,True
2021-06-23,low,03:15,3,19.5,True,9.0,4.3,46.2,0,45.0,1,True,3.0,1.19211,9.0,2.8,True
2021-06-24,low,02:00,2,14.0,True,1.6,1.9,11.4,0,24.0,1,True,0.0,1.19195,1.6,1.9,True
2021-06-25,high,02:33,2,18.3,False,30.2,29.1,165.0,446,,17,True,6.0,1.19444,3.0,30.7,True
2021-06-28,high,03:04,3,21.5,True,2.9,2.4,13.5,6,262.0,7,True,3.0,1.19414,1.7,3.0,True
2021-06-29,low,03:24,3,21.9,False,30.1,29.1,137.4,349,,8,True,4.0,1.19081,2.1,30.6,True
2021-06-30,low,02:00,2,12.6,False,51.4,49.2,407.9,583,,10,True,3.0,1.18974,2.4,52.4,True
2021-07-01,low,02:00,2,10.0,True,9.1,3.6,91.0,29,32.0,1,True,56.0,1.18502,9.1,4.4,True
2021-07-02,low,02:00,2,7.1,True,33.5,33.3,471.8,390,3.0,6,True,1.0,1.18419,1.2,34.9,True
2021-07-05,high,02:32,2,10.8,False,17.8,17.4,164.8,274,,14,True,3.0,1.18617,1.7,18.7,True
2021-07-06,high,02:00,2,17.0,True,19.8,12.5,116.5,10,126.0,1,True,115.0,1.18741,19.8,3.0,True
2021-07-07,high,02:00,2,9.5,True,5.7,4.0,60.0,41,28.0,5,True,6.0,1.18248,5.3,5.9,True
2021-07-08,high,02:00,2,11.6,False,72.8,65.0,627.6,523,,2,True,34.0,1.17946,10.8,73.2,True
2021-07-09,low,02:00,2,15.8,True,9.2,7.4,58.2,63,171.0,7,True,18.0,1.18346,3.4,9.7,True
2021-07-12,low,02:00,2,12.7,False,31.5,30.9,248.0,358,,10,True,1.0,1.18676,2.2,31.6,True
2021-07-13,low,02:00,2,13.1,False,70.3,67.1,536.6,441,,5,True,25.0,1.18637,5.3,72.0,True
2021-07-14,high,02:00,2,13.6,False,42.7,40.2,314.0,532,,7,True,116.0,1.17849,11.7,43.1,True
2021-07-15,high,02:00,2,15.1,True,14.4,7.8,95.4,162,127.0,7,True,50.0,1.18355,10.2,15.1,True
2021-07-16,low,03:31,3,15.0,True,4.8,4.7,32.0,1,82.0,3,True,10.0,1.18023,4.8,4.2,True
2021-07-19,low,02:57,2,15.8,True,34.2,35.2,216.5,319,72.0,2,True,0.0,1.17988,0.1,35.2,True
2021-07-20,low,02:00,2,12.2,True,17.8,11.5,145.9,101,115.0,3,True,134.0,1.1791,17.8,6.5,True
2021-07-21,low,02:00,2,12.9,True,18.2,14.6,141.1,92,372.0,8,True,155.0,1.17706,18.2,10.8,True
2021-07-22,high,02:35,2,11.7,True,3.6,2.5,30.8,45,45.0,7,True,8.0,1.17981,2.9,3.8,True
2021-07-23,low,02:00,2,11.0,True,6.7,1.6,60.9,1,130.0,7,True,16.0,1.17697,6.7,5.5,True
2021-07-26,high,02:00,2,15.4,False,38.6,36.3,250.6,498,,6,True,8.0,1.17783,4.5,38.9,True
2021-07-27,low,02:00,2,11.2,True,31.0,28.2,276.8,141,237.0,1,True,360.0,1.18012,31.0,2.7,True
2021-07-28,low,02:30,2,15.1,True,10.2,9.5,67.5,126,21.0,1,True,134.0,1.18127,10.2,1.8,True
