date,day_of_week,asian_high,asian_low,asian_range_pips,yday_high,yday_low,yday_open,yday_close,dby_high,dby_low,setup1_sell,setup1_buy,setup2_sell,setup2_buy,predicted_side_setup1,predicted_side_setup2,predicted_side,actual_side,actual_sweep_time,actual_sweep_hour,session_bucket,reached_yesterday_extreme,mixed_day,agree_day
2023-12-07,Thursday,1.07711,1.0758,13.1,1.08047,1.0758,1.07942,1.07603,1.08474,1.07781,False,True,False,False,low,none,low,low,00:14,0,before_session,False,False,True
2023-12-08,Friday,1.08005,1.07827,17.8,1.08175,1.07552,1.07604,1.07829,1.08047,1.0758,False,False,False,False,none,none,none,low,00:02,0,before_session,False,False,False
2023-12-11,Monday,1.07739,1.07608,13.1,1.07739,1.07556,1.07592,1.0763,1.07911,1.07236,False,True,False,False,low,none,low,low,02:35,2,in_session,True,False,True
2023-12-12,Tuesday,1.07703,1.07612,9.1,1.07789,1.07415,1.07629,1.07651,1.07739,1.07556,True,False,False,False,high,none,high,high,00:38,0,before_session,False,False,True
2023-12-13,Wednesday,1.07961,1.07842,11.9,1.08279,1.07653,1.07654,1.07862,1.07789,1.07415,False,False,False,False,none,none,none,low,01:21,1,in_session,False,False,False
2023-12-14,Thursday,1.09153,1.08854,29.9,1.09153,1.07731,1.07864,1.08993,1.08279,1.07653,False,False,False,False,none,none,none,low,02:41,2,in_session,True,False,False
2023-12-15,Friday,1.10036,1.09817,21.9,1.10092,1.088,1.08993,1.0998,1.09153,1.07731,False,False,False,False,none,none,none,low,01:01,1,in_session,False,False,False
2023-12-18,Monday,1.09136,1.08945,19.1,1.09136,1.0892,1.08973,1.09128,1.09992,1.08885,True,False,False,False,high,none,high,high,00:00,0,before_session,False,False,True
2023-12-19,Tuesday,1.09289,1.09148,14.1,1.09311,1.09071,1.0913,1.0923,1.09136,1.0892,True,False,False,False,high,none,high,high,01:36,1,in_session,False,False,True
2023-12-20,Wednesday,1.09742,1.09658,8.4,1.09873,1.09207,1.09229,1.09686,1.09311,1.09071,False,False,False,False,none,none,none,low,00:22,0,before_session,False,False,False
2023-12-21,Thursday,1.09542,1.09451,9.1,1.09756,1.09298,1.09686,1.09491,1.09873,1.09207,False,False,False,False,none,none,none,high,00:56,0,before_session,False,False,False
