entry_bar,outcome,r_multiple,risk_pips
530696,WIN,1.865,8.9
531987,LOSS,-1.0,5.7
532082,WIN,6.431,5.1
534871,LOSS,-1.0,8.9
534936,LOSS,-1.0,6.7
535086,LOSS,-1.0,9.7
535176,LOSS,-1.0,8.7
535346,OPEN,0.0,4.9
539224,WIN,3.465,19.8
540610,LOSS,-1.0,11.9
540960,LOSS,-1.0,11.8
541075,OPEN,0.0,14.7
543427,WIN,4.809,4.7
544835,LOSS,-1.0,2.4
544920,WIN,2.044,15.9
546390,LOSS,-1.0,19.2
546440,OPEN,0.0,13.0
552053,LOSS,-1.0,2.5
552478,LOSS,-1.0,14.5
552593,OPEN,0.0,10.7
554918,LOSS,-1.0,13.7
555023,LOSS,-1.0,22.2
555333,LOSS,-1.0,11.8
555398,OPEN,0.0,24.2
556365,LOSS,-1.0,12.3
556450,WIN,1.724,8.7
559180,WIN,0.939,14.8
562190,OPEN,0.0,44.7
563492,LOSS,-1.0,4.4
563522,LOSS,-1.0,16.5
563587,LOSS,-1.0,12.5
563737,LOSS,-1.0,18.9
563822,LOSS,-1.0,6.9
563872,LOSS,-1.0,7.2
563932,OPEN,0.0,14.5
565050,LOSS,-1.0,11.9
565105,LOSS,-1.0,5.8
565120,LOSS,-1.0,3.3
565190,WIN,2.888,11.6
567795,LOSS,-1.0,10.5
567965,WIN,1.06,11.6
569253,LOSS,-1.0,12.0
569288,WIN,0.717,19.1
570660,WIN,2.75,8.8
573560,WIN,0.155,16.1
576411,LOSS,-1.0,9.6
576526,WIN,4.186,17.2
579274,LOSS,-1.0,10.9
579334,LOSS,-1.0,15.0
579539,LOSS,-1.0,13.5
579639,LOSS,-1.0,8.5
586562,LOSS,-1.0,23.0
586847,LOSS,-1.0,9.3
586957,LOSS,-1.0,16.8
587002,LOSS,-1.0,13.0
590770,LOSS,-1.0,6.5
590925,LOSS,-1.0,5.8
591030,LOSS,-1.0,8.8
591120,LOSS,-1.0,3.9
591190,LOSS,-1.0,2.1
591310,OPEN,0.0,4.9
595195,WIN,0.133,9.0
596486,WIN,3.646,4.8
598068,LOSS,-1.0,7.3
598223,LOSS,-1.0,6.1
598293,LOSS,-1.0,4.7
598358,LOSS,-1.0,10.9
598428,LOSS,-1.0,3.0
598468,OPEN,0.0,16.0
599414,LOSS,-1.0,3.5
599439,LOSS,-1.0,1.6
599574,LOSS,-1.0,4.3
599669,LOSS,-1.0,19.7
599879,LOSS,-1.0,8.0
599919,OPEN,0.0,9.1
600994,LOSS,-1.0,3.0
601164,WIN,4.198,9.1
603720,LOSS,-1.0,6.8
603775,LOSS,-1.0,16.3
604170,LOSS,-1.0,16.5
606681,LOSS,-1.0,10.1
607041,LOSS,-1.0,7.8
608034,LOSS,-1.0,9.0
608049,WIN,2.72,12.5
609457,LOSS,-1.0,13.6
609727,LOSS,-1.0,20.2
609902,WIN,3.203,13.3
612290,LOSS,-1.0,5.6
612365,WIN,1.22,12.7
618058,LOSS,-1.0,8.8
618078,LOSS,-1.0,7.6
618208,WIN,0.0,18.3
620911,WIN,3.041,12.1
631021,WIN,0.578,11.6
632393,LOSS,-1.0,8.8
632438,WIN,2.573,7.5
633830,LOSS,-1.0,3.9
633970,LOSS,-1.0,13.6
634010,LOSS,-1.0,11.8
634260,WIN,3.764,12.3
635262,LOSS,-1.0,7.9
635332,OPEN,0.0,13.2
636701,LOSS,-1.0,15.8
636851,LOSS,-1.0,10.6
636936,LOSS,-1.0,7.8
636991,LOSS,-1.0,10.7
637141,OPEN,0.0,11.3
638201,LOSS,-1.0,30.9
641104,LOSS,-1.0,9.2
641169,LOSS,-1.0,13.0
641219,LOSS,-1.0,3.2
641364,LOSS,-1.0,20.9
641499,LOSS,-1.0,8.7
641544,OPEN,0.0,16.5
645393,WIN,2.471,18.7
646786,LOSS,-1.0,13.9
646826,LOSS,-1.0,10.9
646861,WIN,2.787,20.7
653988,LOSS,-1.0,18.4
654103,LOSS,-1.0,13.6
654198,LOSS,-1.0,12.0
654306,LOSS,-1.0,16.7
654406,LOSS,-1.0,11.4
655450,WIN,0.062,43.7
656782,LOSS,-1.0,8.3
656847,LOSS,-1.0,8.9
656957,OPEN,0.0,24.6
658232,WIN,3.539,8.9
661188,WIN,1.685,12.7
662638,LOSS,-1.0,16.0
662683,LOSS,-1.0,12.6
662753,LOSS,-1.0,4.6
662913,LOSS,-1.0,13.7
663033,OPEN,0.0,34.0
666902,LOSS,-1.0,16.5
666972,LOSS,-1.0,18.7
667047,LOSS,-1.0,11.6
667162,OPEN,0.0,10.3
669732,LOSS,-1.0,3.5
669752,WIN,2.303,6.6
671285,LOSS,-1.0,21.3
671355,LOSS,-1.0,11.0
