date,outcome,r_multiple,risk_pips,reward_pips
2022-12-02,LOSS,-1.0,10.0,19.2
2022-12-05,LOSS,-1.0,10.0,40.4
2022-12-06,LOSS,-1.0,10.0,29.5
2022-12-07,LOSS,-1.0,10.0,20.1
2022-12-09,WIN,2.46,10.0,24.6
2022-12-13,LOSS,-1.0,10.0,19.3
2022-12-14,WIN,1.81,10.0,18.1
2022-12-15,LOSS,-1.0,10.0,24.7
2022-12-16,WIN,2.19,10.0,21.9
2022-12-19,WIN,1.55,10.0,15.5
2022-12-20,WIN,5.27,10.0,52.7
2022-12-21,LOSS,-1.0,10.0,16.2
2022-12-22,LOSS,-1.0,10.0,30.0
2022-12-23,LOSS,-1.0,10.0,24.4
2022-12-26,BE,0.02,10.0,19.0
2022-12-27,LOSS,-1.0,10.0,23.5
2022-12-28,LOSS,-1.0,10.0,16.7
2022-12-29,WIN,1.38,10.0,13.8
2022-12-30,WIN,1.61,10.0,16.1
2023-01-02,LOSS,-1.0,14.0,18.3
2023-01-03,LOSS,-1.0,14.0,28.4
2023-01-05,LOSS,-1.0,14.0,24.4
2023-01-09,LOSS,-1.0,14.0,20.6
2023-01-10,WIN,1.3,14.0,18.2
2023-01-11,WIN,1.3,14.0,18.2
2023-01-13,WIN,1.657,14.0,23.2
2023-01-16,LOSS,-1.0,14.0,31.8
2023-01-17,LOSS,-1.0,14.0,25.4
2023-01-18,LOSS,-1.0,14.0,31.7
2023-01-19,LOSS,-1.0,14.0,22.0
2023-01-20,WIN,0.964,14.0,13.5
2023-01-23,LOSS,-1.0,14.0,20.6
2023-01-25,WIN,1.271,14.0,17.8
2023-01-27,LOSS,-1.0,14.0,32.1
2023-01-30,WIN,1.157,14.0,16.2
2023-01-31,LOSS,-1.0,14.0,19.5
2023-02-01,LOSS,-1.0,14.0,15.1
2023-02-02,LOSS,-1.0,14.0,17.2
2023-02-06,LOSS,-1.0,14.0,15.2
2023-02-09,LOSS,-1.0,14.0,19.9
2023-02-10,LOSS,-1.0,14.0,18.2
2023-02-13,LOSS,-1.0,14.0,17.5
2023-02-15,LOSS,-1.0,14.0,28.9
2023-02-16,WIN,1.864,14.0,26.1
2023-02-17,LOSS,-1.0,14.0,30.8
2023-02-20,LOSS,-1.0,14.0,15.0
2023-02-21,WIN,0.971,14.0,13.6
2023-02-24,LOSS,-1.0,14.0,19.0
2023-02-27,WIN,1.307,14.0,18.3
2023-02-28,WIN,1.571,14.0,22.0
2023-03-06,WIN,1.7,14.0,23.8
2023-03-07,WIN,0.979,14.0,13.7
2023-03-09,LOSS,-1.0,14.0,11.5
2023-03-10,WIN,1.35,14.0,18.9
2023-03-13,WIN,4.95,14.0,69.3
2023-03-14,LOSS,-1.0,14.0,20.9
2023-03-15,LOSS,-1.0,14.0,27.0
2023-03-16,LOSS,-1.0,14.0,13.6
2023-03-17,WIN,2.407,14.0,33.7
2023-03-20,LOSS,-1.0,14.0,22.7
2023-03-23,WIN,1.814,14.0,25.4
2023-03-27,WIN,1.307,14.0,18.3
2023-03-28,LOSS,-1.0,14.0,14.0
2023-03-30,WIN,1.136,14.0,15.9
2023-03-31,LOSS,-1.0,14.0,22.9
2023-04-03,LOSS,-1.0,14.0,27.0
2023-04-04,WIN,1.414,14.0,19.8
2023-04-06,LOSS,-1.0,14.0,18.6
2023-04-10,WIN,1.121,14.0,15.7
2023-04-11,LOSS,-1.0,14.0,19.4
2023-04-13,WIN,1.314,14.0,18.4
2023-04-14,WIN,1.629,14.0,22.8
2023-04-18,LOSS,-1.0,14.0,13.7
2023-04-19,LOSS,-1.0,14.0,16.6
2023-04-24,LOSS,-1.0,14.0,11.4
2023-04-25,LOSS,-1.0,14.0,14.4
2023-04-27,WIN,1.0,14.0,14.0
2023-04-28,LOSS,-1.0,14.0,21.6
2023-05-02,WIN,1.757,14.0,24.6
2023-05-03,LOSS,-1.0,14.0,22.8
2023-05-04,WIN,1.079,14.0,15.1
2023-05-05,WIN,1.693,14.0,23.7
2023-05-08,LOSS,-1.0,14.0,22.0
2023-05-11,LOSS,-1.0,14.0,21.5
2023-05-15,LOSS,-1.0,14.0,15.1
2023-05-16,WIN,1.05,14.0,14.7
2023-05-19,LOSS,-1.0,14.0,18.5
2023-05-23,LOSS,-1.0,14.0,15.1
2023-05-25,LOSS,-1.0,14.0,18.5
2023-05-26,LOSS,-1.0,14.0,18.2
2023-05-29,WIN,1.157,14.0,16.2
2023-05-30,WIN,1.671,14.0,23.4
2023-05-31,LOSS,-1.0,14.0,39.6
2023-06-07,WIN,0.979,14.0,13.7
2023-06-12,LOSS,-1.0,14.0,16.0
2023-06-13,LOSS,-1.0,14.0,18.4
2023-06-15,WIN,2.507,14.0,35.1
2023-06-16,WIN,0.864,14.0,12.1
2023-06-20,LOSS,-1.0,14.0,12.6
2023-06-27,LOSS,-1.0,14.0,31.5
2023-06-28,WIN,1.271,14.0,17.8
2023-06-29,WIN,1.707,14.0,23.9
2023-06-30,LOSS,-1.0,14.0,12.9
2023-07-03,WIN,1.1,14.0,15.4
2023-07-05,WIN,1.014,14.0,14.2
2023-07-06,LOSS,-1.0,14.0,14.2
2023-07-10,WIN,1.114,14.0,15.6
2023-07-11,WIN,1.243,14.0,17.4
2023-07-12,LOSS,-1.0,14.0,20.3
2023-07-14,WIN,1.921,14.0,26.9
2023-07-18,LOSS,-1.0,14.0,20.3
2023-07-19,WIN,0.271,14.0,3.8
