date,side,reached_target,asian_range_pips,yesterday_extreme_taken_when,yesterday_close_vs_daybefore
2022-06-10,high,True,24.0,never,bearish
2022-06-13,low,False,19.9,london,bearish
2022-06-14,high,False,35.3,never,bearish
2022-06-15,high,True,25.4,never,bullish
2022-06-16,low,True,38.4,never,bullish
2022-06-17,low,False,34.6,never,bullish
2022-06-20,high,False,43.9,london,bullish
2022-06-21,low,True,26.0,never,bullish
2022-06-22,low,True,29.3,london,bearish
2022-06-23,low,False,25.3,never,bullish
2022-06-24,high,False,25.1,never,bearish
2022-06-27,high,False,21.1,never,bullish
2022-06-28,high,True,16.1,never,bullish
2022-06-29,low,False,18.4,london,bearish
2022-06-30,high,True,23.8,never,bearish
2022-07-01,low,False,28.4,never,bullish
2022-07-04,low,True,19.8,never,bearish
2022-07-05,high,True,15.1,never,bullish
2022-07-06,low,True,17.5,never,bearish
2022-07-07,high,True,33.7,never,bearish
2022-07-08,low,False,37.8,london,bearish
2022-07-11,low,False,32.7,london,bearish
2022-07-12,low,True,49.3,london,bearish
2022-07-13,high,True,24.3,never,bullish
2022-07-14,low,True,29.8,never,bearish
2022-07-15,low,True,30.1,never,bearish
2022-07-18,low,True,27.7,never,bullish
2022-07-19,high,False,28.8,never,bullish
2022-07-20,low,True,17.7,never,bullish
2022-07-21,high,True,35.2,never,bearish
2022-07-22,low,True,37.0,never,bearish
2022-07-25,high,True,32.0,never,bearish
2022-07-26,low,False,28.2,never,bullish
2022-07-27,high,True,19.4,never,bearish
2022-07-28,high,True,35.3,london,bullish
2022-07-29,high,True,35.5,never,bullish
2022-08-01,high,False,33.6,london,bullish
2022-08-02,low,False,37.9,never,bullish
2022-08-04,high,False,21.8,never,bearish
2022-08-05,low,False,18.8,never,bullish
2022-08-08,high,False,26.6,london,bullish
2022-08-09,high,False,12.3,never,bullish
2022-08-10,low,True,16.3,never,bullish
2022-08-11,low,True,22.6,never,bullish
2022-08-12,low,False,20.3,never,bullish
2022-08-15,low,False,28.5,london,bearish
2022-08-16,low,True,22.5,london,bearish
2022-08-17,high,True,13.2,never,bullish
2022-08-18,low,False,25.9,never,bearish
2022-08-19,high,True,21.4,never,bearish
2022-08-22,low,False,23.3,london,bullish
2022-08-23,low,True,20.0,london,bearish
2022-08-24,low,True,29.2,never,bullish
2022-08-25,high,True,29.7,london,bullish
2022-08-26,low,True,12.0,never,bearish
2022-08-29,high,False,27.2,never,bearish
2022-08-30,high,False,31.4,never,bullish
2022-08-31,high,True,18.0,never,bullish
2022-09-01,low,True,27.6,never,bearish
2022-09-02,high,False,12.7,never,bearish
2022-09-05,low,True,28.2,london,bearish
2022-09-06,high,True,28.0,london,bullish
2022-09-07,high,True,27.0,never,bearish
2022-09-08,high,True,21.7,never,bullish
2022-09-09,high,False,75.7,london,bullish
2022-09-12,high,False,32.2,never,bullish
2022-09-13,high,True,22.5,never,bullish
2022-09-14,low,True,21.5,never,bearish
2022-09-15,low,True,13.4,london,bearish
2022-09-16,low,True,26.0,never,bullish
2022-09-19,low,False,34.8,london,bearish
2022-09-20,low,False,30.5,never,bullish
2022-09-21,low,False,17.7,london,bearish
2022-09-22,high,False,29.8,never,bearish
2022-09-23,low,False,31.1,never,bullish
2022-09-26,high,False,141.3,never,bearish
2022-09-27,high,True,26.5,never,bullish
2022-09-28,low,True,58.0,london,bearish
2022-09-29,low,True,39.4,never,bullish
2022-09-30,high,True,38.9,never,bullish
2022-10-04,high,False,39.3,london,bullish
2022-10-05,high,True,31.2,never,bullish
2022-10-06,low,False,23.5,never,bearish
2022-10-07,low,True,25.6,london,bearish
2022-10-10,low,False,28.5,london,bearish
2022-10-11,low,True,42.1,london,bearish
2022-10-12,high,True,29.4,never,bullish
2022-10-13,low,True,27.1,never,bullish
2022-10-14,low,False,47.0,never,bullish
2022-10-17,high,True,15.3,london,bullish
2022-10-18,high,True,29.5,london,bullish
2022-10-19,low,False,23.7,never,bullish
2022-10-20,high,False,17.2,never,bearish
2022-10-21,low,True,18.3,never,bullish
2022-10-24,low,True,42.1,london,bearish
2022-10-25,low,True,21.1,never,bullish
2022-10-26,high,False,23.9,never,bullish
2022-10-27,low,False,31.7,never,bullish
2022-10-28,low,False,40.2,london,bearish
2022-10-31,low,False,22.5,london,bearish
2022-11-01,high,True,23.9,never,bearish
2022-11-02,low,True,20.9,never,bearish
2022-11-03,low,False,19.6,london,bearish
2022-11-04,high,False,40.2,never,bearish
2022-11-07,high,False,27.3,london,bearish
2022-11-08,low,True,24.2,never,bullish
2022-11-09,low,False,29.0,never,bullish
2022-11-10,high,True,18.9,never,bearish
2022-11-11,high,False,35.0,london,bullish
2022-11-14,high,True,45.0,london,bearish
2022-11-15,high,False,16.1,never,bullish
2022-11-16,high,False,56.1,never,bullish
2022-11-17,high,True,31.3,never,bullish
2022-11-18,low,True,29.8,never,bearish
2022-11-21,low,False,42.0,london,bearish
2022-11-22,low,True,16.9,never,bearish
2022-11-23,high,True,24.4,london,bullish
2022-11-24,low,False,37.3,never,bullish
2022-11-25,low,False,25.7,never,bearish
2022-11-28,high,False,39.3,never,bearish
2022-11-30,high,True,24.2,never,bearish
2022-12-01,high,True,29.0,london,bullish
2022-12-02,high,True,20.9,never,bullish
2022-12-05,low,True,41.8,never,bullish
2022-12-06,low,True,30.9,london,bearish
2022-12-07,low,True,21.4,london,bearish
2022-12-08,high,True,13.1,never,bullish
2022-12-09,high,True,26.0,london,bullish
2022-12-12,high,False,14.3,never,bearish
2022-12-13,high,True,22.9,never,bullish
2022-12-14,high,True,19.2,never,bullish
2022-12-15,low,True,33.5,never,bullish
2022-12-16,high,True,23.9,never,bearish
2022-12-19,high,True,16.9,london,bullish
2022-12-20,low,True,54.4,never,bullish
2022-12-21,high,True,19.2,never,bullish
2022-12-22,high,True,32.5,london,bullish
2022-12-23,high,False,25.5,never,bearish
2022-12-26,high,False,20.2,never,bullish
2022-12-27,high,True,25.0,london,bullish
2022-12-28,high,True,17.9,never,bearish
2022-12-29,low,True,15.0,never,bearish
2022-12-30,low,True,17.4,never,bullish
2023-01-02,low,False,22.5,london,bearish
2023-01-03,low,False,29.8,never,bearish
2023-01-04,high,False,17.4,never,bearish
2023-01-05,low,False,28.1,never,bullish
2023-01-06,low,True,13.9,london,bearish
2023-01-09,high,False,23.1,london,bullish
2023-01-10,high,True,21.2,never,bullish
2023-01-11,high,True,19.5,never,bullish
2023-01-12,low,True,13.0,never,bullish
2023-01-13,high,True,24.5,never,bullish
2023-01-16,low,False,33.6,never,bullish
2023-01-17,high,True,26.6,never,bearish
2023-01-18,high,False,33.1,never,bearish
2023-01-19,high,False,23.3,never,bullish
2023-01-20,low,True,16.2,never,bullish
2023-01-23,high,True,22.5,london,bullish
2023-01-24,high,True,13.6,never,bearish
2023-01-25,high,True,19.1,london,bullish
2023-01-26,low,True,14.6,never,bullish
2023-01-27,low,False,33.4,never,bearish
2023-01-30,low,True,18.2,london,bullish
2023-01-31,low,True,20.6,london,bearish
2023-02-01,high,False,16.7,london,bullish
2023-02-02,low,False,19.3,never,bullish
2023-02-03,high,True,12.4,never,bearish
2023-02-06,low,False,16.7,london,bullish
2023-02-07,low,False,14.1,never,bearish
2023-02-08,high,True,11.9,never,bullish
2023-02-09,high,False,23.3,never,bearish
2023-02-10,high,True,21.5,never,bearish
2023-02-13,high,False,19.5,never,bearish
2023-02-14,high,True,14.5,london,bullish
2023-02-15,low,False,30.1,london,bearish
2023-02-16,high,True,28.0,never,bearish
2023-02-17,low,True,32.8,london,bearish
2023-02-20,high,True,17.9,london,bearish
2023-02-21,low,True,15.7,london,bearish
2023-02-22,low,False,10.3,never,bearish
