date,side,outcome,r_multiple,risk_pips,reward_pips,confirm_min,skipped
2022-11-23,high,WIN,0.693,30.3,21.0,96,False
2022-11-24,low,LOSS,-1.0,16.5,35.0,10,False
2022-11-25,low,LOSS,-1.0,25.9,24.1,29,False
2022-11-28,high,LOSS,-1.0,5.1,37.6,0,False
2022-11-30,high,LOSS,-1.0,27.0,21.3,54,False
2022-12-01,high,LOSS,-1.0,15.7,27.6,10,False
2022-12-02,high,LOSS,-1.0,12.1,19.2,6,False
2022-12-05,low,LOSS,-1.0,9.6,40.4,1,False
2022-12-06,low,WIN,1.855,15.9,29.5,40,False
2022-12-07,low,LOSS,-1.0,10.4,20.1,5,False
2022-12-09,high,WIN,3.417,7.2,24.6,2,False
2022-12-13,high,WIN,1.569,12.3,19.3,15,False
2022-12-14,high,WIN,2.446,7.4,18.1,2,False
2022-12-16,high,WIN,3.911,5.6,21.9,0,False
2022-12-20,low,WIN,4.972,10.6,52.7,5,False
2022-12-21,high,WIN,1.087,14.9,16.2,41,False
2022-12-22,high,LOSS,-1.0,6.5,30.0,2,False
2022-12-23,high,LOSS,-0.415,22.4,24.4,75,False
2022-12-26,high,LOSS,-1.0,4.7,19.0,1,False
2022-12-27,high,WIN,1.975,11.9,23.5,12,False
2022-12-28,high,LOSS,-1.0,6.8,16.7,1,False
2022-12-29,low,WIN,1.2,11.5,13.8,17,False
2022-12-30,low,WIN,0.915,17.6,16.1,62,False
2023-01-02,low,LOSS,-1.0,7.4,18.3,0,False
2023-01-03,low,LOSS,-1.0,4.7,28.4,0,False
2023-01-05,low,LOSS,-1.0,8.5,24.4,1,False
2023-01-09,high,LOSS,-1.0,22.0,20.6,28,False
2023-01-10,high,LOSS,-1.0,6.9,18.2,0,False
2023-01-11,high,LOSS,-1.0,11.6,18.2,19,False
2023-01-13,high,LOSS,-1.0,6.6,23.2,0,False
2023-01-16,low,LOSS,-1.0,6.2,31.8,0,False
2023-01-17,high,LOSS,-1.0,5.1,25.4,0,False
2023-01-18,high,LOSS,-1.0,4.8,31.7,0,False
2023-01-19,high,LOSS,-1.0,6.5,22.0,2,False
2023-01-20,low,WIN,1.055,12.8,13.5,2,False
2023-01-23,high,WIN,0.718,28.7,20.6,19,False
2023-01-25,high,LOSS,-1.0,8.1,17.8,6,False
2023-01-27,low,LOSS,-1.0,4.7,32.1,0,False
2023-01-30,low,LOSS,-1.0,5.7,16.2,0,False
2023-01-31,low,LOSS,-1.0,9.4,19.5,8,False
2023-02-01,high,LOSS,-1.0,6.5,15.1,0,False
2023-02-02,low,LOSS,-1.0,7.4,17.2,0,False
2023-02-06,low,LOSS,-1.0,6.6,15.2,5,False
2023-02-09,high,LOSS,-1.0,13.7,19.9,1,False
2023-02-10,high,LOSS,-1.0,7.7,18.2,0,False
2023-02-13,high,LOSS,-1.0,19.9,17.5,87,False
2023-02-15,low,LOSS,-1.0,18.7,28.9,17,False
2023-02-16,high,LOSS,-1.0,8.5,26.1,3,False
2023-02-17,low,LOSS,-1.0,8.4,30.8,3,False
2023-02-20,high,LOSS,-1.0,6.0,15.0,0,False
2023-02-21,low,WIN,1.943,7.0,13.6,1,False
2023-02-24,low,LOSS,-1.0,5.9,19.0,1,False
2023-02-27,low,WIN,1.926,9.5,18.3,1,False
2023-02-28,low,WIN,3.235,6.8,22.0,0,False
2023-03-06,high,LOSS,-1.0,6.4,23.8,1,False
2023-03-07,low,WIN,2.141,6.4,13.7,0,False
2023-03-09,high,LOSS,-1.0,8.6,11.5,1,False
2023-03-10,high,LOSS,-1.0,5.0,18.9,3,False
2023-03-13,high,WIN,9.625,7.2,69.3,0,False
2023-03-14,low,LOSS,-1.0,7.0,20.9,0,False
2023-03-15,low,LOSS,-1.0,5.6,27.0,0,False
2023-03-16,high,LOSS,-1.0,9.3,13.6,0,False
2023-03-17,high,WIN,1.348,25.0,33.7,143,False
2023-03-20,low,LOSS,-1.0,28.5,22.7,26,False
2023-03-23,high,WIN,0.996,25.5,25.4,54,False
2023-03-27,low,WIN,1.71,10.7,18.3,7,False
2023-03-28,high,LOSS,-1.0,5.4,14.0,0,False
2023-03-30,high,LOSS,-1.0,4.4,15.9,0,False
2023-03-31,low,LOSS,-1.0,18.1,22.9,45,False
2023-04-03,high,LOSS,-1.0,5.3,27.0,0,False
2023-04-04,low,WIN,2.605,7.6,19.8,0,False
2023-04-06,high,LOSS,-1.0,4.6,18.6,0,False
2023-04-10,low,WIN,2.617,6.0,15.7,1,False
2023-04-11,high,LOSS,-1.0,13.9,19.4,35,False
2023-04-13,low,LOSS,-1.0,6.4,18.4,0,False
2023-04-14,high,WIN,3.167,7.2,22.8,0,False
2023-04-18,high,LOSS,-1.0,12.0,13.7,7,False
2023-04-19,low,LOSS,-1.0,9.4,16.6,2,False
2023-04-24,low,LOSS,-1.0,11.5,11.4,8,False
2023-04-25,low,LOSS,-1.0,7.2,14.4,2,False
2023-04-27,high,WIN,1.458,9.6,14.0,26,False
2023-04-28,low,LOSS,-1.0,14.7,21.6,32,False
2023-05-02,high,LOSS,-1.0,4.5,24.6,0,False
2023-05-03,high,LOSS,-1.0,6.4,22.8,0,False
2023-05-04,high,WIN,1.373,11.0,15.1,6,False
2023-05-05,high,WIN,3.247,7.3,23.7,1,False
2023-05-08,high,LOSS,-1.0,4.3,22.0,0,False
2023-05-11,low,LOSS,-1.0,6.5,21.5,1,False
2023-05-15,high,LOSS,-1.0,11.8,15.1,33,False
2023-05-16,low,LOSS,-1.0,6.6,14.7,1,False
2023-05-19,high,LOSS,-1.0,16.5,18.5,67,False
2023-05-23,low,LOSS,-1.0,7.1,15.1,0,False
2023-05-25,low,LOSS,-1.0,12.0,18.5,29,False
2023-05-26,high,LOSS,-1.0,5.2,18.2,0,False
2023-05-29,high,WIN,1.246,13.0,16.2,60,False
2023-05-30,low,WIN,0.703,33.3,23.4,163,False
2023-05-31,low,LOSS,-1.0,10.4,39.6,15,False
2023-06-07,low,WIN,0.539,25.4,13.7,177,False
2023-06-12,high,LOSS,-1.0,4.6,16.0,0,False
2023-06-15,low,LOSS,-1.0,4.4,35.1,0,False
2023-06-16,high,WIN,0.676,17.9,12.1,22,False
2023-06-20,high,LOSS,-1.0,7.0,12.6,0,False
2023-06-27,high,LOSS,-1.0,9.1,31.5,10,False
2023-06-28,low,LOSS,-1.0,6.7,17.8,2,False
2023-06-29,low,WIN,4.345,5.5,23.9,1,False
2023-06-30,low,LOSS,-1.0,5.6,12.9,0,False
2023-07-14,low,WIN,1.993,13.5,26.9,16,False
2023-07-20,low,LOSS,-1.0,11.4,22.7,19,False
2023-07-27,high,LOSS,-1.0,4.6,38.9,0,False
2023-08-02,low,LOSS,-1.0,9.3,25.8,2,False
2023-08-08,high,WIN,2.73,10.0,27.3,14,False
2023-09-08,high,WIN,3.742,6.6,24.7,6,False
2023-09-12,low,LOSS,-1.0,6.4,30.0,5,False
2023-09-21,high,LOSS,-1.0,10.4,30.5,8,False
2023-10-05,low,WIN,3.984,6.1,24.3,0,False
2023-10-26,low,LOSS,-1.0,7.5,25.0,6,False
2023-11-16,high,LOSS,-1.0,5.9,24.6,2,False
2023-11-20,high,LOSS,-1.0,7.2,30.3,1,False
2023-12-14,low,LOSS,-1.0,4.4,28.7,0,False
2024-01-02,low,LOSS,-1.0,10.2,20.9,1,False
2024-01-31,low,LOSS,-1.0,6.0,25.7,2,False
2024-03-22,low,LOSS,-1.0,7.0,32.3,0,False
2024-04-19,high,LOSS,-1.0,12.8,32.6,27,False
2024-06-10,low,LOSS,-1.0,11.4,24.0,42,False
2024-07-01,high,WIN,1.33,19.1,25.4,79,False
2024-09-11,high,LOSS,-1.0,9.5,25.9,25,False
2024-11-07,high,LOSS,-1.0,8.8,31.1,0,False
2024-12-04,high,WIN,1.41,17.3,24.4,28,False
2024-12-09,high,LOSS,-1.0,10.2,27.2,11,False
2025-01-13,low,LOSS,-1.0,5.1,40.4,0,False
2025-01-20,high,LOSS,-1.0,9.0,26.7,19,False
2025-01-21,low,LOSS,-1.0,12.5,41.2,8,False
2025-01-24,high,LOSS,-1.0,8.4,41.1,4,False
2025-01-28,low,LOSS,-1.0,11.2,28.8,2,False
2025-02-03,high,LOSS,-1.0,6.7,36.8,0,False
2025-02-13,high,WIN,9.28,5.0,46.4,0,False
2025-02-26,low,LOSS,-1.0,7.3,25.7,1,False
2025-03-06,high,WIN,4.452,7.3,32.5,0,False
2025-03-10,low,LOSS,-1.0,4.7,39.7,0,False
2025-03-21,low,LOSS,-1.0,4.7,26.8,0,False
2025-03-27,low,WIN,6.039,5.1,30.8,0,False
2025-04-04,low,LOSS,-1.0,79.6,57.6,169,False
2025-04-07,high,WIN,0.889,70.4,62.6,143,False
2025-04-08,high,LOSS,-1.0,4.4,64.4,0,False
2025-04-09,high,LOSS,-1.0,58.4,63.4,109,False
2025-04-10,high,LOSS,-1.0,9.0,33.3,0,False
2025-04-11,low,LOSS,-1.0,6.3,132.2,0,False
2025-04-14,high,LOSS,-1.0,14.7,66.2,13,False
2025-04-15,high,LOSS,-1.0,7.7,33.0,0,False
2025-04-16,high,LOSS,-0.758,56.7,45.8,161,False
2025-04-17,low,LOSS,-1.0,7.6,40.5,1,False
2025-04-21,high,LOSS,-1.0,6.4,82.0,1,False
2025-04-22,high,WIN,4.709,11.7,55.1,1,False
2025-04-24,high,LOSS,-1.0,7.3,33.8,1,False
2025-04-25,low,WIN,3.546,11.9,42.2,4,False
2025-04-29,low,LOSS,-1.0,6.3,31.9,1,False
2025-04-30,high,WIN,5.149,7.4,38.1,2,False
2025-05-01,low,LOSS,-1.0,6.1,28.1,1,False
