date,side,outcome,r_multiple,risk_pips,reward_pips
2023-12-29,low,LOSS,-1.0,13.1,19.4
2024-01-02,low,LOSS,-1.0,17.8,20.9
2024-01-31,low,WIN,1.836,14.0,25.7
2024-03-22,low,LOSS,-1.0,14.3,32.3
2024-04-19,high,LOSS,-1.0,13.6,32.6
2024-06-10,low,LOSS,-1.0,14.0,24.0
2024-07-01,high,WIN,1.91,13.3,25.4
2024-07-08,low,WIN,1.22,13.2,16.1
2024-07-22,low,LOSS,-0.486,14.0,13.2
2024-07-29,low,LOSS,-1.0,13.5,17.7
2024-07-31,low,WIN,0.799,16.4,13.1
2024-08-05,low,LOSS,-1.0,15.0,21.3
2024-08-06,low,LOSS,-1.0,13.7,17.7
2024-08-07,low,WIN,1.324,13.6,18.0
2024-08-21,low,LOSS,-1.0,13.4,14.0
2024-08-22,high,WIN,1.066,13.7,14.6
2024-08-23,high,WIN,0.993,13.9,13.8
2024-08-26,low,LOSS,-1.0,13.2,18.8
2024-09-11,high,WIN,1.877,13.8,25.9
2024-09-16,high,LOSS,-1.0,13.7,16.5
2024-09-26,high,WIN,0.479,19.0,9.1
2024-09-27,low,LOSS,-1.0,13.1,14.1
2024-09-30,low,WIN,1.25,13.2,16.5
2024-11-07,high,LOSS,-1.0,13.4,31.1
2024-11-11,low,LOSS,-1.0,13.6,18.3
2024-11-13,low,LOSS,-1.0,13.4,16.0
2024-11-14,low,LOSS,-1.0,13.4,18.6
2024-11-18,high,LOSS,-1.0,15.0,17.3
2024-11-20,low,LOSS,-1.0,13.1,15.1
2024-11-25,low,LOSS,-1.0,13.5,14.4
2024-11-27,high,LOSS,-1.0,14.2,13.3
2024-11-28,low,LOSS,-1.0,13.3,14.1
2024-11-29,high,WIN,1.375,13.6,18.7
2024-12-02,low,LOSS,-1.0,15.7,16.5
2024-12-04,high,WIN,1.863,13.1,24.4
2024-12-05,high,LOSS,-1.0,13.2,15.4
2024-12-09,high,LOSS,-1.0,13.8,27.2
2024-12-10,high,WIN,1.058,13.7,14.5
2024-12-13,low,WIN,1.44,15.0,21.6
2024-12-17,low,LOSS,-1.0,13.5,20.6
2025-01-13,low,LOSS,-1.0,13.9,40.4
2025-01-20,high,LOSS,-1.0,13.3,26.7
2025-01-21,low,LOSS,-1.0,16.0,41.2
2025-01-24,high,LOSS,-1.0,13.1,41.1
2025-01-28,low,LOSS,-0.105,15.2,28.8
2025-02-03,high,LOSS,-1.0,15.2,36.8
2025-02-13,high,WIN,3.362,13.8,46.4
2025-02-26,low,LOSS,-1.0,13.2,25.7
2025-03-06,high,WIN,2.097,15.5,32.5
2025-03-10,low,LOSS,-1.0,13.4,39.7
2025-03-21,low,WIN,2.015,13.3,26.8
2025-03-27,low,WIN,2.351,13.1,30.8
2025-04-08,high,WIN,4.879,13.2,64.4
2025-04-09,high,LOSS,-1.0,17.4,63.4
2025-04-10,high,LOSS,-1.0,17.9,33.3
2025-04-11,low,WIN,9.443,14.0,132.2
2025-04-14,high,LOSS,-1.0,13.8,66.2
2025-04-15,high,LOSS,-1.0,16.1,33.0
2025-04-17,low,LOSS,-1.0,13.1,40.5
2025-04-21,high,LOSS,-1.0,13.1,82.0
2025-04-22,high,WIN,3.51,15.7,55.1
2025-04-24,high,LOSS,-1.0,14.4,33.8
2025-04-25,low,WIN,2.425,17.4,42.2
2025-04-29,low,LOSS,-1.0,13.7,31.9
2025-04-30,high,WIN,2.664,14.3,38.1
2025-05-01,low,LOSS,-1.0,13.3,28.1
2025-05-02,high,LOSS,-1.0,14.3,39.0
2025-05-05,low,WIN,2.379,13.2,31.4
2025-05-06,high,LOSS,-1.0,14.3,35.2
2025-05-08,low,LOSS,-1.0,15.2,31.0
2025-05-09,high,LOSS,-1.0,13.4,35.4
2025-05-15,high,LOSS,-1.0,16.3,21.1
2025-05-19,high,LOSS,-1.0,15.0,23.7
2025-05-21,high,LOSS,-1.0,13.2,52.0
2025-05-22,low,LOSS,-1.0,13.3,26.3
2025-05-23,high,LOSS,-1.0,13.8,38.1
2025-05-29,high,LOSS,-1.0,13.3,32.5
2025-05-30,low,LOSS,-1.0,14.4,41.7
2025-06-02,high,LOSS,-1.0,13.6,27.9
2025-06-03,low,LOSS,-1.0,14.6,36.0
2025-06-04,low,WIN,1.856,13.9,25.8
2025-06-05,low,WIN,1.794,13.6,24.4
2025-06-09,high,LOSS,-1.0,13.4,31.2
2025-06-10,low,WIN,3.4,14.0,47.6
2025-06-11,low,WIN,2.209,13.9,30.7
2025-06-12,high,LOSS,-1.0,15.7,23.7
2025-06-13,low,LOSS,-1.0,16.7,82.1
2025-06-19,low,WIN,1.923,15.5,29.8
2025-06-23,high,WIN,2.353,13.9,32.7
2025-06-26,high,LOSS,-1.0,14.3,47.8
2025-07-01,low,WIN,2.066,13.7,28.3
2025-07-07,low,LOSS,-1.0,13.4,24.3
2025-07-14,low,LOSS,-0.25,14.0,23.3
2025-07-31,high,LOSS,-1.0,13.3,29.3
2025-08-04,low,WIN,1.134,13.4,37.2
2025-08-05,low,LOSS,-1.0,13.2,32.5
2025-08-19,high,LOSS,-1.0,13.9,29.0
2025-08-22,low,WIN,1.75,14.4,25.2
2025-08-26,low,WIN,3.276,14.5,47.5
