entry_bar,outcome,r_multiple,risk_pips
733065,WIN,0.837,23.3
734363,LOSS,-1.0,9.6
734558,LOSS,-1.0,10.4
734738,LOSS,-1.0,23.1
735742,LOSS,-1.0,5.8
736150,LOSS,-1.0,9.2
737107,LOSS,-1.0,5.7
737332,WIN,1.677,12.7
738557,LOSS,-1.0,10.9
738902,LOSS,-1.0,11.4
739007,WIN,0.213,25.3
745889,OPEN,0.0,25.8
749942,LOSS,-1.0,13.6
750077,LOSS,-1.0,23.7
750347,LOSS,-1.0,16.1
751588,WIN,0.551,19.6
752803,WIN,1.934,10.6
755778,LOSS,-1.0,11.9
756048,WIN,0.0,23.2
758604,LOSS,-1.0,12.3
758979,WIN,1.237,23.2
760164,LOSS,-1.0,19.9
760389,LOSS,-1.0,7.0
761586,LOSS,-1.0,6.6
761721,OPEN,0.0,17.7
764484,WIN,0.339,29.8
765746,WIN,3.333,5.4
767133,WIN,0.511,18.0
774548,LOSS,-1.0,5.5
774653,LOSS,-1.0,9.1
777081,LOSS,-1.0,6.8
777336,LOSS,-1.0,8.8
777426,WIN,2.507,14.2
781539,WIN,1.618,14.4
782796,LOSS,-1.0,0.4
783261,OPEN,0.0,12.0
784369,WIN,0.041,34.0
785787,LOSS,-1.0,7.3
787114,LOSS,-1.0,4.6
787294,LOSS,-1.0,10.4
787399,LOSS,-1.0,9.2
787489,LOSS,-1.0,4.6
787534,WIN,0.0,43.5
790074,LOSS,-1.0,5.9
790359,WIN,0.047,15.0
792871,LOSS,-1.0,6.3
793171,OPEN,0.0,6.9
800174,OPEN,0.0,41.8
801943,LOSS,-1.0,14.4
802063,WIN,0.345,20.3
803008,WIN,2.065,10.7
806169,LOSS,-1.0,17.0
806276,LOSS,-1.0,10.6
806996,WIN,0.746,6.7
808029,WIN,2.063,24.0
810962,LOSS,-1.0,15.4
811172,WIN,0.624,30.3
812042,WIN,4.51,10.0
816090,WIN,1.185,23.2
819205,LOSS,-1.0,22.9
819355,LOSS,-1.0,9.7
821053,LOSS,-1.0,10.8
821113,LOSS,-1.0,11.8
826381,LOSS,-1.0,10.8
826621,LOSS,-1.0,3.7
826636,LOSS,-1.0,14.3
829057,LOSS,-1.0,3.4
829087,LOSS,-1.0,8.4
829819,LOSS,-1.0,12.0
830104,LOSS,-1.0,14.6
831869,WIN,1.7,10.0
834064,OPEN,0.0,11.1
835969,LOSS,-1.0,6.6
836074,WIN,0.413,20.1
840256,LOSS,-1.0,14.5
841168,WIN,0.545,13.2
844053,WIN,2.105,7.6
845199,LOSS,-1.0,6.5
846008,WIN,0.352,14.2
847092,WIN,0.314,22.0
848172,WIN,1.167,15.6
849071,LOSS,-1.0,1.3
849296,WIN,0.0,5.4
852073,LOSS,-1.0,4.3
852163,WIN,4.023,4.4
853172,LOSS,-1.0,7.6
853307,LOSS,-1.0,9.7
853517,OPEN,0.0,19.2
857310,LOSS,-1.0,14.6
857580,LOSS,-1.0,6.7
860308,LOSS,-1.0,0.6
860428,WIN,0.905,9.5
862465,LOSS,-1.0,10.7
862645,WIN,0.437,24.5
863335,LOSS,-1.0,4.4
867416,WIN,0.156,18.0
869468,WIN,2.0,7.1
871487,WIN,0.455,9.9
873473,LOSS,-1.0,1.4
873638,OPEN,0.0,11.9
874633,LOSS,-1.0,3.5
874768,LOSS,-1.0,16.0
877540,LOSS,-1.0,4.9
877765,LOSS,-1.0,6.4
879626,WIN,0.723,20.6
883423,WIN,0.279,8.6
884576,LOSS,-1.0,7.6
891589,LOSS,-1.0,14.5
891844,OPEN,0.0,32.2
892686,WIN,0.0,8.2
894623,WIN,0.281,19.9
895680,LOSS,-1.0,5.4
898720,WIN,2.258,9.3
899693,WIN,0.105,37.2
900559,WIN,0.093,9.7
902673,WIN,0.645,9.3
903676,WIN,0.488,8.6
904726,WIN,0.435,16.8
905701,LOSS,-1.0,8.8
905851,LOSS,-1.0,9.1
905941,OPEN,0.0,19.0
906959,WIN,0.0,108.1
907720,LOSS,-1.0,16.4
908005,LOSS,-1.0,13.0
917493,WIN,0.312,13.8
918856,LOSS,-1.0,6.4
919141,LOSS,-1.0,11.9
919306,LOSS,-1.0,9.0
919411,OPEN,0.0,17.9
920515,LOSS,-1.0,6.7
920635,LOSS,-1.0,9.2
920680,LOSS,-1.0,12.4
921920,WIN,0.378,14.3
924887,WIN,2.56,12.5
926024,LOSS,-1.0,4.2
926234,WIN,2.296,10.8
927544,LOSS,-1.0,8.7
927964,OPEN,0.0,10.1
930461,LOSS,-1.0,6.8
930746,OPEN,0.0,24.4
931920,WIN,1.319,11.9
933182,LOSS,-1.0,7.8
933272,WIN,0.0,42.1
937566,LOSS,-1.0,5.2
937866,OPEN,0.0,16.9
940435,WIN,0.0,15.7
944663,LOSS,-1.0,5.0
945128,OPEN,0.0,14.1
947478,LOSS,-1.0,6.1
947538,LOSS,-1.0,13.5
947613,LOSS,-1.0,8.1
947853,WIN,1.725,13.1
950395,LOSS,-1.0,0.7
950665,WIN,0.163,4.9
951890,LOSS,-1.0,19.1
952295,OPEN,0.0,14.6
956061,WIN,2.4,5.5
957674,LOSS,-1.0,3.8
957734,LOSS,-1.0,9.7
958004,OPEN,0.0,24.5
958939,WIN,0.613,7.5
963426,LOSS,-1.0,12.1
964713,WIN,0.0,38.0
968992,WIN,0.792,10.1
972000,OPEN,0.0,8.7
984675,LOSS,-1.0,5.0
984735,WIN,0.349,12.6
986099,WIN,0.731,7.8
987595,LOSS,-1.0,3.8
987835,LOSS,-1.0,15.5
988000,LOSS,-1.0,12.9
988120,OPEN,0.0,11.8
990484,LOSS,-1.0,5.2
990634,WIN,0.592,13.0
996227,WIN,0.99,9.9
1000461,WIN,0.514,10.7
1001984,WIN,0.0,8.3
1003645,WIN,3.953,17.0
1004842,WIN,0.24,5.0
1006324,WIN,0.534,5.8
1007700,LOSS,-1.0,1.8
1008135,LOSS,-1.0,21.5
1009122,LOSS,-1.0,10.5
1009227,OPEN,0.0,10.5
1016298,LOSS,-1.0,5.7
1016508,WIN,0.293,15.7
1017791,LOSS,-1.0,12.5
1017956,LOSS,-1.0,5.7
1018061,LOSS,-1.0,4.1
1020777,LOSS,-1.0,16.7
1021107,OPEN,0.0,41.1
1023669,LOSS,-1.0,10.4
1027813,LOSS,-1.0,10.8
1027978,WIN,2.087,11.5
1029281,LOSS,-1.0,9.9
1029521,LOSS,-1.0,8.2
1029701,OPEN,0.0,10.8
1030625,LOSS,-1.0,9.5
1030955,WIN,10.4,2.5
1046773,OPEN,0.0,21.5
1052193,LOSS,-1.0,4.5
1052328,LOSS,-1.0,10.4
1052613,OPEN,0.0,13.6
1053751,LOSS,-1.0,10.5
1053961,LOSS,-1.0,18.3
1061097,LOSS,-1.0,9.3
1062713,WIN,0.763,16.9
1066884,WIN,0.642,10.9
1068531,OPEN,0.0,25.2
1075479,WIN,0.0,6.8
1082292,WIN,1.358,6.7
1086665,WIN,1.912,13.6
1088130,LOSS,-1.0,10.6
1088310,LOSS,-1.0,7.8
1088550,OPEN,0.0,30.0
1089554,LOSS,-1.0,0.4
1089854,LOSS,-1.0,6.4
1092399,WIN,0.0,11.3
1098171,LOSS,-1.0,10.7
1098396,LOSS,-1.0,4.8
1098486,WIN,0.0,58.3
1099626,WIN,0.019,15.8
1101063,WIN,0.793,11.6
1102467,LOSS,-1.0,7.5
1102842,WIN,0.711,15.9
1103877,WIN,0.836,6.1
1105343,LOSS,-1.0,9.1
1105388,WIN,0.184,12.5
1106775,WIN,0.0,8.0
1108182,LOSS,-1.0,7.4
1108542,WIN,0.0,65.5
1111132,LOSS,-1.0,11.5
1111552,OPEN,0.0,12.6
1112540,LOSS,-1.0,5.9
1112630,LOSS,-1.0,6.6
1112795,WIN,2.115,6.1
1114235,WIN,0.0,8.5
1115352,LOSS,-1.0,5.4
1115892,OPEN,0.0,27.3
1118437,LOSS,-1.0,12.3
1119737,WIN,0.353,6.8
1121411,LOSS,-1.0,5.4
1122647,WIN,0.686,10.2
1128313,WIN,0.203,11.8
1131357,LOSS,-1.0,8.2
1131582,LOSS,-1.0,0.4
1135503,LOSS,-1.0,7.0
1135638,WIN,0.0,14.4
1136936,WIN,0.908,6.5
1138354,WIN,0.0,7.7
1141531,OPEN,0.0,11.6
1142963,WIN,1.514,7.0
1145539,WIN,0.39,5.9
1146948,LOSS,-1.0,1.8
1149843,LOSS,-1.0,7.7
1149888,LOSS,-1.0,16.6
1150173,LOSS,-1.0,5.6
1150278,LOSS,-1.0,5.6
1151237,LOSS,-1.0,5.6
1151537,WIN,1.553,9.4
1152664,LOSS,-1.0,6.3
1152919,WIN,1.088,6.8
1161453,LOSS,-1.0,9.9
1161633,OPEN,0.0,9.9
1171212,LOSS,-1.0,13.9
1171542,WIN,0.085,18.9
1175551,WIN,3.673,5.5
1177021,LOSS,-1.0,6.8
1177171,LOSS,-1.0,15.8
1177441,OPEN,0.0,11.7
1182947,LOSS,-1.0,11.9
1183007,WIN,0.0,30.8
1184302,WIN,1.205,8.3
1185573,LOSS,-1.0,7.6
1185798,LOSS,-1.0,6.1
1189898,WIN,0.193,17.1
1191471,LOSS,-1.0,5.0
1191696,OPEN,0.0,48.4
1193149,OPEN,0.0,10.4
1198375,WIN,0.423,2.6
1199819,LOSS,-1.0,2.7
1200029,LOSS,-1.0,7.6
1200314,OPEN,0.0,15.1
1202824,LOSS,-1.0,8.6
1203064,LOSS,-1.0,15.0
1207084,WIN,0.121,5.8
1208692,WIN,0.919,12.4
1213081,LOSS,-1.0,7.8
