date,day_of_week,asian_bar_count,london_kz_bar_count,data_gap,asian_open,asian_close,asian_high,asian_high_time,asian_low,asian_low_time,asian_high_before_low,asian_range_pips,london_kz_open,london_kz_close,london_kz_high,london_kz_low,london_kz_range_pips,both_sides_swept_in_kz,first_sweep_side,first_sweep_time,sweep_depth_pips,sweep_close_beyond_level,reversal_reached_opposite,direction_if_faded,mfe_pips,mae_pips,progress_pct_of_asian_range,reversal_time,minutes_to_reversal,atr14_pips_prior,low_liquidity_flag
2022-09-16,Friday,240,180,False,0.99876,0.99972,1.0012,21:07,0.9986,20:00,False,26.0,0.99822,0.99551,0.99985,0.99448,53.7,False,low,02:00,41.2,True,True,long,38.7,33.9,193.5,10:40,520.0,104.71428571428544,False
2022-09-19,Monday,240,180,False,1.00219,0.99979,1.00291,20:02,0.99943,23:45,True,34.8,0.99809,0.99758,0.99868,0.99657,21.1,False,low,02:00,28.6,True,False,long,36.4,16.0,68.4,,,97.07857142857108,False
2022-09-20,Tuesday,240,180,False,1.00297,1.00294,1.00504,20:12,1.00199,22:14,True,30.5,1.00169,1.00098,1.0042,1.00002,41.8,False,low,02:00,64.9,True,False,long,23.4,63.6,72.5,,,100.87142857142818,False
2022-09-21,Wednesday,240,180,False,0.9971,0.99659,0.9975,20:10,0.99573,20:41,True,17.7,0.995,0.99017,0.99553,0.98845,70.8,False,low,02:00,90.9,True,False,long,4.0,84.9,-11.3,,,105.64999999999966,False
2022-09-22,Thursday,240,180,False,0.98316,0.98193,0.98378,22:57,0.9808,20:42,False,29.8,0.98244,0.98792,0.99074,0.98131,94.3,False,high,03:28,69.6,True,False,short,25.5,70.0,86.9,,,103.7285714285711,False
2022-09-23,Friday,240,180,False,0.98384,0.98233,0.98517,21:20,0.98206,23:56,True,31.1,0.98293,0.9753,0.9838,0.97509,87.1,False,low,02:38,118.6,True,False,long,1.8,119.2,7.7,,,106.0714285714283,False
2022-09-26,Monday,240,180,False,0.96854,0.96338,0.96916,20:04,0.95503,20:59,True,141.3,0.96293,0.96849,0.97013,0.96266,74.7,False,high,03:23,9.7,True,False,short,84.2,7.6,58.1,,,109.07857142857128,False
2022-09-27,Tuesday,240,180,False,0.96201,0.96408,0.96449,23:44,0.96184,20:03,False,26.5,0.96515,0.96241,0.96707,0.9621,49.7,False,high,02:00,25.8,True,True,short,32.8,20.5,194.7,05:06,186.0,115.06428571428559,False
2022-09-28,Wednesday,240,180,False,0.95953,0.95578,0.96006,20:03,0.95426,22:16,True,58.0,0.95556,0.95563,0.95884,0.95357,52.7,False,low,02:59,6.9,True,True,long,63.6,3.3,250.9,06:02,183.0,121.53571428571406,False
2022-09-29,Thursday,240,180,False,0.97055,0.96859,0.97137,20:02,0.96743,22:32,True,39.4,0.96646,0.96652,0.96762,0.96353,40.9,False,low,02:00,39.0,True,True,long,49.7,29.8,292.6,06:55,295.0,119.87857142857122,False
